lecture_id,course_code,course_name,professor,schedule,credit,time_hour,division,year_target,note,capacity,enrolled,avg_rating,rating_count,assignment,groupwork,grade_policy,attendance,exam_type,review_star,review_semester,review_text
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,24년 2학기 수강자,시험이 없어서 좋아요. 과제도 쉽고 학점도 잘 주셔요
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,25년 1학기 수강자,"대단한 교수님이세요. 중간고사는 없고, 기말고사는 미리 준비할 수 있게 해주세요"
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,25년 1학기 수강자,"수업 내용도 재미있고 교수님이 너무 친절하셔서 좋음
성적도 잘 주심"
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,25년 1학기 수강자,"한국 예능, 영화에 관심 있으면 강의 내용 자체가 너무 재밌음"
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,24년 2학기 수강자,수업 내용 재미있고 강의력이 좋으십니다. 추천 추천. 중간 고사 없고 중간 중간에 간단한 퀴지 있습니다. 기말 고사도 어렵지 않습니다
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,24년 1학기 수강자,교수님이 매우 친절하고 중간고사 없고 수업 내용이  흥미롭다
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,23년 2학기 수강자,"교수님 진짜 성격이 좋으신분이요. 
중간시험은 없고 대신에 보거서 써야함. (아주쉬어)
기말음 미리 어디가 나오는지 알려주시고 객관식 서술식 반반으로 진행함."
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,23년 1학기 수강자,출석 잘하고 간단한 과제 잘하면 점수 잘 받을 수 있는것 같아요.
1780794,2150011701,(외국인을위한)한류와대중문화의이해,윤선희,월 수 15:00-16:15 (진리관 11522 (이효계강의실)-윤선희),3,3.0,교선,전체,,50,29,5.00,,,,,,,5.0,22년 2학기 수강자,출석하고 가끔 있는 출결 대신 간단한 퀴즈만 하면 성적 잘 주십니다.
2925096,2150011702,(외국인을위한)한류와대중문화의이해,최지영,화 금 13:30-14:45 (진리관 11522 (이효계강의실)-최지영),3,3.0,교선,전체,,50,25,5.00,,,,,,,5.0,25년 2학기 수강자,너무 친절하신 교수님 최고의 수업 감사합니다!
